Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project.PrjPcb|ReportField=ProjectFullPath~C:\Users\Lahiru\Desktop\PCB_Project\PCB_Project.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Project.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~27|ReportField=ReportTime~6:59:46 PM|ReportField=ReportDate~10/8/2017|ReportField=ReportDateTime~10/8/2017 6:59:46 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=AuthorName~Lahiru Jayakody|ReportField=CheckedBy~|ReportField=CheckedByName~Lahiru Jayakody|ReportField=CompanyName~|ReportField=CurrentDate~10/8/2017|ReportField=CurrentTime~6:21:06 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Lahiru\Desktop\PCB_Project\HeadBoard.SchDoc|ReportField=DocumentName~HeadBoard.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/8/2017|ReportField=Organization~|ReportField=ProjectName~PCB_Project.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTitle~Head - Mother board|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Lahiru\Desktop\PCB_Project\PCB_Project.PrjPcb
1|Green|Typical RED GaAs LED|D1|LED-1|LED1|1
2|Red|Typical RED GaAs LED|D2|LED-1|LED1|1
3|RJ45 PUE - Tail|Header, 8-Pin|P1|RJ45|Header 8|1
4|DHT11|Header, 4-Pin|P2|HDR1X4|Header 4|1
5|Buck Conveter|Header, 2-Pin, Dual row|P3|HDR2X2|Header 2X2|1
6|USB to TTL - RPi|Header, 5-Pin|P4|HDR1X5|Header 5|1
7|USB Data - RPi|Header, 4-Pin|P5|USB_Female|Header 4|1
8|Flash|Header, 5-Pin|P6|HDR1X5|Header 5|1
9|IDE GPIO - RPi|Header, 20-Pin, Dual row|P7|HDR2X20|Header 20X2|1
10|JSN-SR04T|Header, 4-Pin|P8|HDR1X4|Header 4|1
11|ICSP|Header, 3-Pin, Dual row|P9|HDR2X3|Header 3X2|1
12|RJ45 Ethernet - RPi|Header, 8-Pin|P10|RJ45|Header 8|1
13|USB Power - RPi|Header, 4-Pin|P11|USB_Female|Header 4|1
14|ADXL345|Header, 4-Pin|P12|HDR1X4|Header 4|1
15|RPi UART|Header, 4-Pin|P13|HDR1X4|Header 4|1
16|Res1|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11|AXIAL-0.3|Res1|11
17|ATmega328-PU|8-bit AVR Microcontroller, 32KB Flash, 1KB EEPROM, 2KB SRAM, 28-pin PDIP, Industrial Grade (-40°C to 85°C)|U1|28P3|ATmega328-PU|1
